                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     600                                      745                  7.1998856394826063E+001                  2.0000000000000000E-002                  1.3979483396507433E+003                  4.7930036519796015E-001                  4.7460227556347854E+003                  1.0824694511767130E+006                  1.5388679435957110E+003                 -1.0215503207340117E+001                  6.9999999999999862E-001                  2.9797635253336655E-005                  2.7997020236474818E-001                  3.4468833607860828E-003                  1.0103427409336040E-003                  9.3805276451495202E-003                  2.0850244238750314E-003                  7.1998856394826063E+001                  0.0000000000000000E+000                  5.0399199476378207E+001                  2.1453956613647946E-003                  2.0157534394889936E+001                  2.4817166010295474E-001                  7.2743521914033743E-002                  6.7538726283081796E-001                  1.5011937407428369E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1977144305415550E+001                  1.5344999813932313E+003                  7.1974486195113442E+001                  1.5338284339640509E+003                  7.1202671178779006E+007                  7.3285001849422585E+001                  6.6513522683304118E+005                  6.0780826426751918E-006                  6.0780826426751935E-006                  4.6166947329381071E-082                  2.4316366888229083E-007                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.4115894523362297E+010                                  "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210312" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  7.1998856394826063E+001                  3.1872013528864573E+000                  3.6763298162372409E+000                 -9.1304714305704717E+000                  2.3522935343537870E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  7.1998856394790067E+001                  3.1872013528837360E+000                  3.6763298163374656E+000                 -9.1304714298690097E+000                  2.3522935351533052E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       3                  7.1998856394754057E+001                  3.1872013528810141E+000                  3.6763298193559995E+000                 -9.1304714087425847E+000                  2.3522935592329270E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       4                  7.1998856392621605E+001                  3.1872013527197414E+000                  3.6763298356823211E+000                 -9.1304712944762745E+000                  2.3522936894721829E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       5                  7.1998856383025583E+001                  3.1872013519940148E+000                  3.6763298816928809E+000                 -9.1304709724532600E+000                  2.3522940565098795E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       6                  7.1998856359568649E+001                  3.1872013502200196E+000                  3.6763299722298690E+000                 -9.1304703387960551E+000                  2.3522947787444513E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       7                  7.1998856317985883E+001                  3.1872013470752134E+000                  3.6763301369777635E+000                 -9.1304691857510303E+000                  2.3522960929715317E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002 
                                       8                  7.1998856241217723E+001                  3.1872013412694313E+000                  3.6763304575691853E+000                 -9.1304669420000444E+000                  2.3522986503751153E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       9                  7.1998856087681389E+001                  3.1872013296579289E+000                  3.6763310987557345E+000                 -9.1304624545468336E+000                  2.3523037651376497E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002 
                                      10                  7.1998855780608721E+001                  3.1872013064351585E+000                  3.6763323811436561E+000                 -9.1304534798355075E+000                  2.3523139944841414E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
